id,affiliation
1,Tufts University
2,Boston University
3,"CMLA, ENS Paris Saclay"
4,CMLA
5,"CNRS, CRIStAL, SEQUEL"
6,Tom
7,Robert
8,"TU-Darmstadt, Germany"
9,"Swiss Data Science Center, ETH Zurich and EPFL, Switzerland"
10,"EPFL, Switzerland"
11,"University of Lincoln, Lincoln, UK"
12,"Guangzhou University, Guangzhou, China"
13,PARIETAL
14,IMAG
15,The MITRE Corporation
16,UNLP
17,"UFRGS, Polytech'Lab, IRIT"
18,UPS
19,EA4215
20,CIMS
21,"DMA, CIMS"
22,"CMAP, TROPICAL, EDF R&D OSIRIS"
23,EDF R&D OSIRIS
24,POLARIS
25,EPI
26,Mecsci
27,LINE
28,"ZENITH, Mecsci"
29,"Flowers, Mecsci"
30,"LINE, Mnemosyne, Mecsci"
31,ILL
32,"LINE, Mnemosyne"
33,"CRIStAL, CNRS, SPIRALS"
34,"DI-ENS, ENS Paris, CNRS, PSL, VALDA"
35,IETR
36,"IETR, SEQUEL"
37,Thoth
38,IIT Bombay
39,IIT Madras
40,"College of Science & Engineering, James Cook University"
41,"Stockholm University, Sweden"
42,"KTH Royal Institute of Technology, Sweden"
43,"Uppsala University, Sweden"
44,"SRI International, Princeton, NJ, USA"
45,The University of Iowa
46,Brave Software
47,University of California Riverside
48,Technion
49,MIT
50,Sherman
51,SIERRA
52,IMT Atlantique - ELEC
53,DIRO
54,"IRIT, CNRS"
55,"TSE, UT1"
56,"IRIT, UPS"
57,LOCIE
58,LAMA
59,"LAMA, PUCPR"
60,PUCPR
61,"LGI, IRT SystemX"
62,IRT SystemX
63,LGI
64,Ohio State University
65,"Sobolev Institute of Mathematics, Novosibirsk, Russia"
66,"PSL, SIERRA"
67,TITANE
68,UPD7
69,UCL-CS
70,SPADES
71,LIRIS
72,LIG
73,Mnemosyne
74,CERMOM EA 4091
75,MSH Lorraine
76,Intel Corporation
77,Baidu
78,Eli
79,"Instituto de Telecomunicações, Lisbon, Portugal"
80,"SiteGround Hosting EOOD, Bulgaria"
81,"University of Copenhagen, Denmark"
82,"MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA"
83,"Qatar Computing Research Institute, HBKU"
84,"MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA, USA"
85,"American University of Beirut, Electrical and Computer Engineering Department, Beirut, Lebanon"
86,"American University of Beirut, Computer Science Department, Beirut, Lebanon"
87,"Qatar University, Computer Science and Engineering Department, Doha, Qatar"
88,ICMPE
89,Sorbonne Université
90,Aalborg University Copenhagen
91,Google
92,Tampere University
93,Université de Toulon
94,University of Oxford
95,TRASH
96,Microsoft Research
97,Lexington High School
98,"Sofia University `St. Kliment Ohridski', Bulgaria"
99,"Centre for Quantum Information and Foundations, DAMTP, University of Cambridge, Perimeter Institute for Theoretical Physics"
100,LMO
101,LIFIA
102,BGU
103,GANG
104,"GANG, IRIF, LINCS"
105,"Univ. Grenoble Alpes, CNRS, Grenoble INP, GIPSA-lab, Grenoble, France"
106,"Arturia, Meylan, France"
107,ALMAnaCH
108,"ALMAnaCH, UPD7, CMB"
109,CNR-ILC
110,ANSI
111,IDS
112,"Potioc, LaBRI, Bordeaux INP"
113,"CNBI, Hybrid"
114,Laboratoire GDAC
115,"PHOENIX-POST, HACS, CNRS"
116,EPIONE
117,Instituto de Astrofisica de Canarias
118,"Institute for Solar Physics, Dept. of Astronomy, Stockholm University"
119,"IXXI, LIP"
120,"Anhui University, Hefei, China"
121,Sandy
122,NCSA
123,Morgridge Institute for Research
124,University of Nebraska-Lincoln
125,Syracuse University
126,University of Wisconsin-Madison
127,University of Illinois
128,Graz University of Technology
129,CESR
130,UC Davis
131,Oxford University
132,"Samsung AI Center, Skolkovo Institute of Science and Technology"
133,Samsung AI Center
134,MARACAS
135,CRESTIC
136,LIA
137,American University of Kuwait
138,Rafik Hariri University
139,UFRJ
140,UFIJ
141,ZENITH
142,IMS
143,Princeton University
144,University of Nebraska Lincoln
145,CERN
146,Arizona State University
147,for the Image Biomarker Standardisation Initiative
148,University of Cambridge
149,"Tohoku University, Japan"
150,"Twitter, Inc"
151,University of Michigan
152,Beihang University
153,Carleton University
154,Monash University
155,Santa Clara University
156,"Data61, CSIRO"
157,Pittsburgh Supercomputing Center
158,Internet2
159,BrightLite Information Security
160,Independent Consultant
161,Indiana University
162,Berkeley Lab
163,"LITIS, INSA Rouen Normandie, NU"
164,DocApp - LITIS
165,SCK-CEN
166,LITIS
167,"DMA, CNRS"
168,"LEGO, MARSOUIN, IMT Atlantique - LUSSI"
169,UL
170,for the Alzheimer's Disease Neuroimaging Initiative
171,"Potioc, LaBRI"
172,HACS
173,"LaBRI, Potioc"
174,CEDRIC
175,LIUM
176,ELM
177,MULTISPEECH
178,"RoMas, IUT NANTES"
179,"IS3P, ECN"
180,"LS2N, IUT NANTES"
181,"Indian Institute of Technology, Madras"
182,"EDF R\&D, LMO, SIERRA"
183,EDF R\&D
184,GIPSA-VIBS
185,"CEA-LETI, GIPSA-VIBS"
186,GIPSA-Services
187,Lebanese American University
188,Dhofar University
189,Iofedov
190,Northeastern University
191,CNR PISA
192,PANAMA
193,"LRI, EX-SITU"
194,Inria
195,LinkMedia
196,HKU
197,MFX
198,"LORIA, ZENITH"
199,NTNU
200,FEP
201,LFANT
202,Islamic University of Technology
203,LIGM
204,ERIC
205,Eugene
206,"BioGeCo, PLEIADE"
207,"PLEIADE, HiePACS"
208,HiePACS
209,"CISPA Helmholtz Center for Information Security, Saarland Informatics Campus, Germany"
210,Raymond
211,DeustoTech - Fundacion Deusto
212,"Kyoto University, Japan"
213,"University of Freiburg, Germany"
214,"University of Lisbon, Portugal"
215,"University of Edinburgh, Scotland"
216,KU
217,Joe
218,LIG Laboratoire d'Informatique de Grenoble
219,IV
220,"LIG, LIG Laboratoire d'Informatique de Grenoble"
221,RI2C - LITIS
222,for the SoLid collaboration
223,Fred
