id,author
1,Georgia Gkioxari
2,Jitendra Malik
3,Justin Johnson
4,Lianhui Qin
5,Michel Galley
6,Chris Brockett
7,Xiaodong Liu
8,Xiang Gao
9,Bill Dolan
10,Yejin Choi
11,Jianfeng Gao
12,Carles Gelada
13,Saurabh Kumar
14,Jacob Buckman
15,Ofir Nachum
16,Marc G. Bellemare
17,Ricky T. Q. Chen
18,Jens Behrmann
19,David Duvenaud
20,Jörn-Henrik Jacobsen
21,Raphael Gontijo Lopes
22,Dong Yin
23,Ben Poole
24,Justin Gilmer
25,Ekin D. Cubuk
26,Bhavya Kailkhura
27,Jayaraman J. Thiagarajan
28,Qunwei Li
29,Peer-Timo Bremer
30,Nilesh Kulkarni
31,Ishan Misra
32,Shubham Tulsiani
33,Abhinav Gupta
34,Jie Cai
35,Zibo Meng
36,Ahmed Shehab Khan
37,Zhiyuan Li
38,James O'Reilly
39,Shizhong Han
40,Ping Liu
41,Min Chen
42,Yan Tong
43,Cody Mazza-Anthony
44,Bogdan Mazoure
45,Mark Coates
46,Mikhail Khodak
47,Maria Florina-Balcan
48,Ameet Talwalkar
49,Yuan Cao
50,Quanquan Gu
51,Andy Coenen
52,Emily Reif
53,Ann Yuan
54,Been Kim
55,Adam Pearce
56,Fernanda Viégas
57,Martin Wattenberg
58,Tejas Khot
59,Shubham Agrawal
60,Christoph Mertz
61,Simon Lucey
62,Martial Hebert
63,Yodai Watanabe
64,Yifeng Fan
65,Tingran Gao
66,Zhizhen Zhao
67,David Jurgens
68,Eshwar Chandrasekharan
69,Libby Hemphill
70,Alex Olshevsky
71,Ioannis Ch. Paschalidis
72,Shi Pu
73,Malte J. Rasch
74,Tayfun Gokmen
75,Wilfried Haensch
76,Gianina Alina Negoita
77,James P. Vary
78,Glenn R. Luecke
79,Pieter Maris
80,Andrey M. Shirokov
81,Ik Jae Shin
82,Youngman Kim
83,Esmond G. Ng
84,Chao Yang
85,Matthew Lockner
86,Gurpur M. Prabhu
87,Lukas Ruff
88,Robert A. Vandermeulen
89,Nico Görnitz
90,Alexander Binder
91,Emmanuel Müller
92,Klaus-Robert Müller
93,Marius Kloft
94,Omar Besbes
95,Yonatan Gur
96,Assaf Zeevi
97,Diederik P. Kingma
98,Max Welling
99,Johannes Kirschner
100,Andreas Krause
101,Joohyung Lee
102,Ji Eun Oh
103,Min Ju Kim
104,Bo Yun Hur
105,Dae Kyung Sohn
106,Andrei Velichko
107,Ali Siahkamari
108,Venkatesh Saligrama
109,David Castanon
110,Brian Kulis
111,Ekaterina Gurina
112,Nikita Klyuchnikov
113,Alexey Zaytsev
114,Evgenya Romanenkova
115,Ksenia Antipova
116,Igor Simon
117,Victor Makarov
118,Dmitry Koroteev
119,Jingcheng Liu
120,Alistair Sinclair
121,Piyush Srivastava
122,Gal Levy-Fix
123,Gilad J. Kuperman
124,Noémie Elhadad
125,Manolis Antonoyiannakis
126,Terrance DeVries
127,Changhan Wang
128,Laurens van der Maaten
129,Yunxuan Xiao
130,Yanru Qu
131,Lin Qiu
132,Hao Zhou
133,Lei Li
134,Weinan Zhang
135,Yong Yu
136,Junxian He
137,Zhisong Zhang
138,Taylor Berg-Kiripatrick
139,Graham Neubig
140,Nika Haghtalab
141,Cameron Musco
142,Bo Waggoner
143,Guoquan Huang
144,Ping Xu
145,Cameron Nowzari
146,Zhi Tian
147,Ali Hooshmand
148,Ratnesh Sharma
149,Tom de Jong
150,Vignesh Srinivasan
151,Arturo Marban
152,Wojciech Samek
153,Shinichi Nakajima
154,S. Rasoul Etesami
155,Zhuan Khye Koh
156,Laura Sanità
157,Matthew Rahtz
158,James Fang
159,Anca D. Dragan
160,Dylan Hadfield-Menell
161,Sariel Har-Peled
162,Sepideh Mahabadi
163,Rob Donnelly
164,Francisco R. Ruiz
165,David Blei
166,Susan Athey
167,Alexander Sasha Vezhnevets
168,Yuhuai Wu
169,Remi Leblond
170,Joel Z. Leibo
171,Rebekka Burkholz
172,Alina Dubatovka
173,Dirk Weissenborn
174,Oscar Täckström
175,Jakob Uszkoreit
176,Alon Brutzkus
177,Oren Elisha
178,Ran Gilad-Bachrach
179,Rafael Müller
180,Simon Kornblith
181,Geoffrey Hinton
182,Wanxin Li
183,Mark Nejad
184,Rui Zhang
185,Guangyan Hu
186,Desheng Zhang
187,Sandro Rigo
188,Thu D. Nguyen
189,Kalpesh Krishna
190,Mohit Iyyer
191,Mariya Toneva
192,Leila Wehbe
193,Sascha Kurz
194,Laure Prétet
195,Romain Hennequin
196,Jimena Royo-Letelier
197,Andrea Vaglio
198,Hong-Ning Dai
199,Zibin Zheng
200,Yan Zhang
201,Julien M. Hendrickx
202,Balazs Gerencser
203,Baris Fidan
204,Mikołaj Bojańczyk
205,Laure Daviaud
206,Bruno Guillon
207,Vincent Penelle
208,A. V. Sreejith
209,Shengchao Liu
210,Dimitris Papailiopoulos
211,Dimitris Achlioptas
212,Robert Wagner
213,Daniel Crispell
214,Patrick Feeney
215,Joe Mundy
216,D. S. Kulyabov
217,A. V. Korolkova
218,L. A. Sevastianov
219,Stefano Spigler
220,Mario Geiger
221,Matthieu Wyart
222,Ortho Flint
223,Asanka Wickramasinghe
224,Jason Brasse
225,Christopher Fowler
226,Wei Xu
227,Haowei Gu
228,Fu Zhang
229,Hengameh Mirzaalian
230,Mohamed Hussein
231,Wael Abd-Almageed
232,Shuai Zhang
233,Lina Yao
234,Lucas Vinh Tran
235,Aston Zhang
236,Yi Tay
237,Hirofumi Tsuda
238,Elliot Creager
239,David Madras
240,Marissa A. Weis
241,Kevin Swersky
242,Toniann Pitassi
243,Richard Zemel
244,Mostafa Elhoushi
245,Farhan Shafiq
246,Ye Henry Tian
247,Joey Yiwei Li
248,Zihao Chen
249,Peilin Chen
250,Hai Wan
251,Shaowei Cai
252,Weilin Luo
253,Jia Li
254,Rana Ali Amjad
255,Bernhard C. Geiger
256,Jun-Ming Li
257,Ching Wen Chen
258,Teng-Hu Cheng
259,Dena J. Clink
260,Holger Klinck
261,Michal Kupsa
262,Abubakar Abid
263,Ali Abdalla
264,Ali Abid
265,Dawood Khan
266,Abdulrahman Alfozan
267,James Zou
268,Felix Wiewel
269,Bin Yang
270,Pierre Biasutti
