id,category
1,cs.CV
2,cs.CL
3,cs.AI
4,cs.LG
5,stat.ML
6,math.OC
7,cs.IT
8,math.IT
9,quant-ph
10,cs.SI
11,cs.DC
12,cs.MA
13,cs.NE
14,cs.ET
15,nucl-th
16,nlin.AO
17,cs.CC
18,cond-mat.stat-mech
19,cs.DM
20,cs.DS
21,math.CO
22,cs.CY
23,cs.DL
24,physics.data-an
25,physics.soc-ph
26,cs.RO
27,cs.SY
28,eess.SP
29,math.LO
30,cs.LO
31,cs.GT
32,cs.HC
33,econ.EM
34,cs.NI
35,cs.CR
36,cs.DB
37,q-bio.NC
38,"94B05, 94B65"
39,cs.SD
40,eess.AS
41,cs.SE
42,math.DS
43,cs.SC
44,cond-mat.dis-nn
45,68R05
46,F.2.2
47,cs.IR
48,q-bio.QM
49,math.ST
50,stat.TH
51,math.NT
52,eess.IV
53,physics.med-ph
54,math-ph
55,math.MP
56,I.2.7
57,cs.MM
58,econ.GN
59,nlin.CD
60,q-fin.EC
61,hep-th
62,math.NA
63,cs.GR
64,"94A24, 94B25, 94B50"
65,q-bio.GN
66,"05A05, 68R05, 92B99, 92D20, 94B25"
67,stat.CO
68,"05B40, 52C15, 52C26, 11H31, 65D18, 68W30, 68U05"
69,cs.NA
70,cs.PF
71,stat.ME
72,physics.comp-ph
73,physics.geo-ph
74,cs.CE
75,cs.AR
76,stat.AP
77,cs.MS
78,physics.space-ph
79,q-fin.TR
80,cs.OS
81,"82C32, 91A15, 65M12"
82,"05C69, 05C20, 05C15"
83,cs.CG
84,math.PR
85,C.2.4
86,math.AT
87,"55N99, 68T10"
88,q-fin.RM
89,"68U05, 55U10, 05C20"
90,J.3
91,I.3.5
92,"68W30, 68T05, 03C10"
93,I.2.6
94,I.1.0
95,physics.ao-ph
96,"05C15, 68Q25, 68R10, 68U05"
97,I.m
98,"90C47, 90C26,"
99,94A60
100,94Axx
101,cs.FL
102,math.FA
103,"15A39, 15A69, 52A41, 65F35, 65K05"
104,I.2.10
105,I.3.7
106,I.4.8
107,"37B40, 03D78, 03D28"
108,cs.PL
109,"91A06, 91A40, 91A80, 91A90, 65K05"
110,05E45
111,I.4.5
112,I.4.10
113,91A05
114,physics.app-ph
115,math.GR
116,math.CT
117,03G99
118,"55-XX, 62-07"
119,49J21
120,"68T05, 68T50"
121,"60A66, 68Q85, 03B45, 03B52"
122,F.4.1
123,I.2.4
124,cond-mat.mes-hall
125,68R15
126,90C26
127,G.1.6
128,q-bio.MN
129,q-fin.GN
130,"C.1.3, I.2.6, I.5"
131,physics.chem-ph
132,H.5.5
133,I.2.9
134,cond-mat.soft
135,physics.flu-dyn
136,68T45
137,I.4.9
138,astro-ph.SR
139,astro-ph.IM
140,"68Q12, 81P68, 90C26"
141,68U99
142,H.5.2
143,I.3.8
144,J.5
145,"68W10, 65N38, 65F05"
146,"62B10, 92C55"
147,"47A55, 65F15"
148,"03D15, 03F52, 68N18"
149,"91B12, 91B14"
150,"94A60, 13P10, 13P15, 13C40, 13P25"
151,"94A60, 14G50, 11T71"
152,68T99
153,"15A, 52B, 52C, 68Q, 68R, 68W, 90B, 90C"
154,"68R10, 68Q17, 68Q25, 68W40"
155,"68T30, 68T20, 68T37, 68W27"
156,I.2.1
157,I.2.m
158,I.5.0
159,I.5.1
160,I.5.2
161,I.5.3
162,I.5.4
163,q-fin.PM
164,cs.OH
165,"68Q12, 81P68, 81P45"
166,"65F08, 65N30, 65N55, 65Y05, 65Y10, 65Y20"
167,D.1.3
168,G.1.8
169,G.4
170,05C15
171,"68N99, 65Y04, 65Y15, 65F50"
172,G.1.3
173,H.3.4
174,E.1
175,05C85
176,G.2.2
177,G.2.1
178,physics.ins-det
179,nucl-ex
180,"68W25, 68W40"
181,"62H30, 65K10, 90C27"
182,physics.bio-ph
183,"05C62, 05C75, 05C85"
184,"76F65, 76F10, 76F40, 76G25"
185,C.2
186,"57M15, 05C83, 68R10, 15A03"
187,I.4.4
188,F.1.3
189,I.2.11
190,"60Exx, 94Axx, 28A80"
191,"03B15, 18C50, 55U35"
192,F.3.2
193,62
194,physics.optics
195,I.3.3
196,I.3.6
197,"68Q30, 03D32, 68R10, 05C30, 05C78, 05C75, 05C60, 05C80, 05C82,
  94A15, 68Q01"
198,G.3
199,68T05
200,H.3.3
201,"Primary: 11T66, 94B27 - Secondary: 39A06, 37N35"
202,F.1.1
203,I.2
204,J.4
205,"20G05, 33C45, 33C55, 55R25"
206,q-bio.BM
207,"68Q32, 90C52"
208,60C05
209,"94C12, 05B30, 68R05"
210,math.SP
211,"60K25, 68M12"
212,"03B70, 03F03, 34C14, 34A38, 34C08, 58A10"
213,F.3.1
214,G.1.7
215,I.2.3
216,68T06
217,"05Cxx, 05C76, 46Jxx"
218,J.1
219,H.2.8
220,"05C85, 05C80"
221,math.MG
222,"05C85, 05C20, 68R05"
223,math.AG
224,math.AC
225,"14Qxx, 13Pxx, 13H15, 14C17, 14C20, 68W30, 65H10"
226,55N99
227,"91A80, 91B10, 91B12, 91B14"
228,"03B45, 68Q17"
229,C.4
230,D.2.5
231,"68U10 (Primary) 68T45, 68W40 (Secondary)"
232,I.4.6
233,I.7.5
234,"94A60, 94C10, 06B30"
235,68U20
236,94B15
237,05C80
238,H.3.7
239,H.3.6
240,H.3.5
241,"91A80, 97R99"
242,I.1.5
243,"94-A15, 94-A34"
244,"03D75, 68Q55"
245,"65Y05, 65F10, 65F15, 65Y05, 68W10"
246,"68T40, 74Pxx, 46N10, 65D19"
247,94B10
248,math.RT
249,math.AP
250,physics.class-ph
251,I.2.0
252,"13P25, 94B27"
253,H.2.3
254,"35J05, 42A38, 65F05, 65N22"
255,"62G05, 05C80, 62G10"
256,stat.OT
257,econ.TH
258,I.2.5
259,65D15
260,hep-ex
261,"74Q05, 74B20, 74S30"
262,"11H06, 11H55, 11R04"
263,68N30
264,"65F30, 65K05, 49M15, 49M30, 65F50"
265,"65D15, 65B05, 46N40, 65F99, 68W99"
266,"68T30 (Primary) 68T10, 68T05 (Secondary)"
267,q-fin.ST
268,"55N99, 46C05"
269,05B15
270,"05B35, 94B60, 15A03"
271,hep-ph
272,62H30
273,I.4
274,I.5
275,"68Q05, 68Q45, 68Q60, 68Q85, 03B70"
276,F.1
277,F.4
278,94A14
